id	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC70	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE
class	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Basal	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal
ENSG00000011465	0	0	0	0	6.91	0	0	0	0	0.12	4.73	0.1	0.18	0	0.31	0.46	0	4.54	0	0.9	0	0	5.22	0.07	1.68	0	0	0.21	0	0.12	0	0	0	0	4.44	0	0.31	0.29
ENSG00000057149	0	0.06	0	0	0	0	0	0	0	0	0.07	0	0	0.1	0.49	1.05	4.01	3.74	0.15	6.49	0.12	0	1.96	4.05	2.88	0	0	0	0	0	0	3.86	0	0	2.86	0	1.82	0
ENSG00000065618	0.26	0.23	1.52	0.27	0.07	0	0.93	3.3	0.62	3.15	0.46	0.32	0.26	0.26	7.4	5.14	1.56	3.73	4.93	0.01	0.73	0.53	7.75	7.81	8.4	0.01	0.19	1.2	1.55	4.19	0.57	1.87	0.23	0.18	2.83	1.84	3.79	2.42
ENSG00000083720	5.16	0.36	6.48	4.18	5.33	2.49	2.07	3.24	3.36	4.8	5.31	4.87	1.95	2.52	5.07	6.06	4.92	5.57	5.82	6.85	4.24	1.16	4.86	3.67	2.85	4.69	5.47	3.73	2.83	4	4.41	3.46	0.62	2.48	2.7	2.55	2.46	1.26
ENSG00000095139	5.29	5.31	6.11	5.72	6.49	5.25	4.58	4.29	4.47	5.63	5.96	5.87	5.22	6.27	6.9	6.33	5.84	5.01	6.4	6.13	6.41	5.42	5.96	5.85	4.7	6.67	5.09	5.97	6.23	6.1	5.54	4.99	5.63	5.07	4.87	5.19	4.65	5.53
ENSG00000104413	6.42	3.52	6.85	6.7	0.25	6.27	5.11	5.34	6.15	5.27	0.21	7.54	6.17	8.03	5.39	6.44	7.15	5.63	6.13	6.4	6.15	5.47	4.62	3.8	5.2	6.42	5.83	6.89	0.45	6.38	6.41	5.87	3.21	0.51	4.07	6.5	5.14	4.96
ENSG00000105185	6.59	6.21	6.26	5.53	7.68	6.81	7.25	7.01	6.29	6.85	6.62	5.55	6.29	6.47	6.31	6.54	6.71	5.35	7.43	6.5	7.82	6.48	7.64	7.29	7.79	6.14	6.18	6.45	7.52	5.94	5.78	7.29	6.78	7.31	5.7	6.07	7.66	6.53
ENSG00000110917	5.87	4.96	6.04	6.31	5.42	4.98	5.69	5.41	5.71	5.51	5.94	5.83	6.69	4.15	6.64	5.79	6.35	5.89	5.2	5.8	6.68	6.13	4.82	4.95	4.93	6.05	6.52	7.35	5.76	6.88	5.76	4.13	4.89	4.17	4.85	5.46	5.4	6.53
ENSG00000112511	5	4.69	3.58	4.58	4.89	5.26	5.47	3.98	4.27	4.29	5.5	4.83	3.46	5.09	5.04	4.29	4.29	5.46	4.75	5.03	3.74	4.22	3.75	4.7	3.56	4.3	4.22	4.02	5.56	3.71	4.43	5.06	4.09	6.39	4.68	6.1	4.27	5.5
ENSG00000116299	6.28	6.51	6.84	6.43	0.69	7.98	5.61	5.85	6.82	0.63	0.3	6.73	6.16	0.44	0.27	1.12	1.26	5.94	0.53	3.51	0.32	5.43	0.27	0.82	0.44	8.1	7.04	4.99	0.9	6.86	7.06	2.73	5.95	0.71	0.5	7.65	0.41	5.55
ENSG00000119888	8.21	6.65	7.58	6.79	0	6.95	6.73	6.21	6.15	7.83	0.07	7.24	6.11	7.53	7.74	6.63	6.99	6.36	7.19	6.98	7.39	6.47	3.37	4.82	3.46	8.13	7.54	7.12	2.11	8.2	7.11	5.58	5.66	0.8	6.12	6.87	6.37	7.01
ENSG00000143771	6.41	5.1	5.33	5.62	5.78	5.1	4.74	5.07	5.16	4.64	5.81	5.46	4.33	6.87	5.47	5	5.66	5.37	6.12	6.34	5.96	4.77	6.84	5.43	5.82	5.84	5.21	6.35	6.08	5.48	5.76	5.79	5.75	4.62	4.97	4.05	6.04	6.25
ENSG00000160180	6.47	4.23	8.75	10.01	0	4.02	6.2	6.05	10.56	0.42	0.36	10.39	8.6	0.36	0	0.12	0.71	6.11	0.46	0	0.67	6.94	0.12	1.76	0	6.05	4.91	10.72	3.46	9.72	3.4	0	3.26	0	0	3.93	0	0.3
ENSG00000166145	6.87	8.93	6.88	8.08	0.33	7.29	8.64	7.8	8.18	6.51	1.42	7.39	6.56	7.25	6.86	6.56	7.47	7.34	7.63	8.22	6.03	7.44	6.42	7.46	5.92	6.77	7.6	7.79	0.42	6.09	8.29	7.78	8.71	0.93	7.63	7.8	7.37	7.98
ENSG00000198125	3.7	7.08	6.31	4.68	0.62	4.92	6.9	6.59	6.9	3.28	1.4	5.74	3.96	3.22	2.15	4.13	5.21	5.66	6.12	4.55	2.18	5.26	0.23	0.39	0.3	5.19	4.23	6.96	0.36	6.05	5.57	4.93	7	0.16	3.33	5.88	4.89	3.55
